stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
36.140864,0,21ADIXSN,-86.800365,,,,21ST AV S & DIXIE PL,21ST AVE S & DIXIE PL SB,0,21ADIXSN,
36.187775,0,DOMMETEN,-86.798861,,,,,DOMINICAN DR & METRO CENTER BLVD EB,0,DOMMETEN,
36.089348,0,NASLONEF,-86.642704,,,,NASHBORO BLVD & LONG HUNTER CT,NASHBORO BLVD & LONGHUNTER CT EB,0,NASLONEF,
36.187722,0,PORPONSF,-86.729639,,,,,PORTER RD & PONTOTOC AVE SB,0,PORPONSF,
36.136868,0,WED17AEN,-86.795931,,,,WEDGEWOOD & 17 AVE,WEDGEWOOD AVE & 17TH AVE S EB,0,WED17AEN,
36.108352,0,POWPOWNM,-86.765755,,,,,POWELL AVE & POWELL PL NB,0,POWPOWNM,
36.171678,0,WOO5SEN,-86.764955,,,,,WOODLAND ST & S 5TH ST EB,0,WOO5SEN,
36.192437,0,COUDOAWM,-86.834602,,,,,COUNTY HOSPITAL RD & DOAK AVE WB,0,COUDOAWM,
36.19142,0,COUDOAWN,-86.83582,,,,,COUNTY HOSPITAL RD & DOAK AVE WB,0,COUDOAWN,
36.162857,0,3AVCOMNN,-86.776724,,,,3RD AV N & COMMERCE ST,3RD AVE N & COMMERCE ST NB,0,3AVCOMNN,
36.126855,0,10AWALNN,-86.786145,,,,10TH AV S & WALDKIRCH AV,10TH AVE S & WALDKIRCH AVE NB,0,10AWALNN,
36.257808,0,MANFAWWN,-86.681733,,,,,MANZANO RD & FAWN LN WB,0,MANFAWWN,
36.068702,0,RICDREWN,-86.676139,,,,,RICHARDS RD & DREWRY DR WB,0,RICDREWN,
36.177012,0,16SWOOSN,-86.741988,,,,N 16TH ST & PORTER RD,16TH ST & WOODLAND ST SB,0,16SWOOSN,
36.217246,0,OHPR,-86.624815,,,,GRANWOOD BLVD,OLD HICKORY PARK & RIDE,0,OHPR,
36.151044,0,12ADIVSF,-86.784362,,,,12TH AV S & DIVISION ST,12TH AVE S & DIVISION ST SB,0,12ADIVSF,
36.108796,0,BELGVINN,-86.800523,,,,BELMONT BV & GRAND VIEW LN,BELMONT BLVD & GRAND VIEW LN NB,0,BELGVINN,
36.088293,0,MXINASHB,-86.649284,,,,,NASHBORO STATION INBOUND,0,MXINASHB,
36.182274,0,23ASEINF,-86.814331,,,,23RD AV N & SEIFRIED ST,23RD AVE N & SEIFRIED ST NB,0,23ASEINF,
36.138397,0,8ALYNSN,-86.778566,,,,8TH AVENUE S & LYNWOOD,8TH AVE S & LYNWOOD AVE SB,0,8ALYNSN,
36.210728,0,FLASLANN,-86.755202,,,,,FLAMINGO DR & SLAYDEN DR NB,0,FLASLANN,
36.196394,0,DICLUCNN,-86.771839,,,,DICKERSON PK & LUCILE ST,DICKERSON PIKE & LUCILE ST NB,0,DICLUCNN,
36.148364,0,ROYPEREM,-86.674225,,,,ROYAL PKWY & RACHEL PKWY,ROYAL PKWY & PERIMETER PL EB,0,ROYPEREM,
36.172867,0,FAT19SEN,-86.737132,,,,,FATHERLAND ST & S 19TH ST EB,0,FAT19SEN,
