block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_14072,0,18,0,1,DOWNTOWN VIA ELM HILL,10326,3_merged_131429,126956,
b_14067,0,18,0,0,AIRPORT EXPRESS,10321,1_merged_131428,126870,
b_14035,0,18,0,0,AIRPORT EXPRESS,10321,1_merged_131428,126871,
b_14067,0,18,0,0,AIRPORT EXPRESS,10321,1_merged_131428,126872,
b_14067,0,18,0,0,AIRPORT VIA ELM HILL,10324,1_merged_131428,126873,
b_14067,0,18,0,0,AIRPORT VIA ELM HILL,10324,1_merged_131428,126874,
b_14067,0,18,0,0,AIRPORT VIA ELM HILL,10324,1_merged_131428,126875,
b_14067,0,18,0,0,AIRPORT VIA ELM HILL,10324,1_merged_131428,126876,
b_14069,0,18,0,0,AIRPORT VIA ELM HILL,10322,1_merged_131428,126877,
b_14069,0,18,0,0,AIRPORT EXPRESS,10321,1_merged_131428,126878,
b_14067,0,18,0,0,AIRPORT VIA ELM HILL,10324,1_merged_131428,126879,
b_14445,0,61,0,1,GULCH,10509,1_merged_131428,130462,
b_14446,0,61,0,1,GULCH,10509,1_merged_131428,130463,
b_14448,0,61,0,1,GULCH,10509,1_merged_131428,130464,
b_14447,0,61,0,1,GULCH,10509,1_merged_131428,130465,
b_14448,0,61,0,1,GULCH,10509,1_merged_131428,130466,
b_14448,0,61,0,1,GULCH,10509,1_merged_131428,130467,
b_14211,0,4,0,1,DOWNTOWN VIA ROSEBANK,10451,3_merged_131429,128750,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127479,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127478,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127473,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127472,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127471,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127470,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127477,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127476,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127475,
b_14113,0,22,0,1,LONG TERM CARE,10359,3_merged_131429,127474,
b_14457,0,61,0,1,GULCH,10509,3_merged_131429,130644,
b_14460,0,61,0,1,GULCH,10509,3_merged_131429,130645,
b_14456,0,61,0,1,GULCH,10509,3_merged_131429,130646,
b_14458,0,61,0,1,GULCH,10509,3_merged_131429,130647,
b_14460,0,61,0,1,GULCH,10509,3_merged_131429,130640,
b_14456,0,61,0,1,GULCH,10509,3_merged_131429,130641,
b_14458,0,61,0,1,GULCH,10509,3_merged_131429,130642,
b_14459,0,61,0,1,GULCH,10509,3_merged_131429,130643,
b_14459,0,61,0,1,GULCH,10509,3_merged_131429,130648,
b_14457,0,61,0,1,GULCH,10509,3_merged_131429,130649,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128872,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128873,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128870,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128871,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128876,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128877,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128874,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128875,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128878,
b_14218,0,42,0,1,26TH AND CLARKSVILLE HWY,10462,3_merged_131429,128879,
a_13476,0,7,0,1,DOWNTOWN,9994,1_merged_131416,121785,
b_14449,0,61,0,1,GULCH,10509,1_merged_131428,130468,
b_14448,0,61,0,1,GULCH,10509,1_merged_131428,130469,
a_13959,0,52,0,0,52B - WALLACE-EZELL,10246,2_merged_131422,125870,
b_14450,0,61,0,0,BICENTENNIAL MALL,10508,1_merged_131428,130460,
b_14449,0,61,0,0,BICENTENNIAL MALL,10508,1_merged_131428,130461,
a_13526,0,41,0,1,DOWNTOWN,10179,1_merged_131416,124234,
a_13650,0,41,0,1,DOWNTOWN,10177,1_merged_131416,124235,
a_13823,0,56,0,1,DOWNTOWN LIMITED STOPS,10208,1_merged_131416,124944,
a_13629,0,34,0,1,DOWNTOWN VIA ELLINGTON,10150,3_merged_131417,124177,
a_13629,0,34,0,1,DOWNTOWN VIA DONELSON,10149,3_merged_131417,124176,
a_13629,0,34,0,1,DOWNTOWN VIA ELLINGTON,10150,3_merged_131417,124175,
a_13629,0,34,0,1,DOWNTOWN VIA DONELSON,10149,3_merged_131417,124174,
a_13629,0,34,0,1,DOWNTOWN VIA ELLINGTON,10150,3_merged_131417,124173,
a_13629,0,34,0,1,DOWNTOWN VIA DONELSON,10149,3_merged_131417,124172,
a_13629,0,34,0,0,OPRY MILLS VIA ELLINGTON,10146,3_merged_131417,124171,
a_13629,0,34,0,0,OPRY MILLS VIA DONELSON,10145,3_merged_131417,124170,
a_13828,0,56,0,1,DOWNTOWN LIMITED STOPS,10208,1_merged_131416,124942,
b_14167,0,3,0,0,WHITE BRIDGE,10404,1_merged_131428,131289,
a_13629,0,34,0,1,DOWNTOWN VIA ELLINGTON,10150,3_merged_131417,124179,
a_13629,0,34,0,1,DOWNTOWN VIA DONELSON,10149,3_merged_131417,124178,
a_13455,0,5,0,0,BELLEVUE,9981,1_merged_131416,121527,
a_13458,0,5,0,0,BELLEVUE,9981,1_merged_131416,121526,
a_13454,0,5,0,0,BELLEVUE,9981,1_merged_131416,121525,
a_13454,0,5,0,0,BELLEVUE,9981,1_merged_131416,121524,
a_13457,0,5,0,0,BELLEVUE,9981,1_merged_131416,121523,
